Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
Sono Bisque Doll: Minha Adorável Cosplayer 02,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/sono-bisque-doll-minha-adoravel-cosplayer-02
Sasaki E Miyano Vol. 4,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/sasaki-e-miyano-vol-4
Undead Unluck Vol. 5,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/undead-unluck-vol-5
Namorada De Aluguel Vol. 23,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-23
Mushoku Tensei: Uma Segunda Chance Vol. 11,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/mushoku-tensei-uma-segunda-chance-vol-11
Donzelas à Flor Da Pele Vol. 7,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/donzelas-a-flor-da-pele-vol-7
Komi Não Consegue Se Comunicar Vol. 14,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-14
Jojo's Bizarre Adventure Parte 5: Golden Wind Vol. 02,"R$ 44,90","R$ 29,19",Avise-me,Não,https://panini.com.br/jojos-bizarre-adventure-parte-5-golden-wind-vol-02
Golden Kamuy Vol. 31,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/golden-kamuy-vol-31
Mashle: Magia E Músculos Vol. 7,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/mashle-magia-e-musculos-vol-7
The Killer Inside Vol. 8,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/the-killer-inside-vol-8
Kanojo Mo Kanojo - Confissões E Namoradas Vol. 9,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/kanojo-mo-kanojo-confissoes-e-namoradas-vol-9
O Paraíso Ilusório Vol. 4,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/o-paraiso-ilusorio-vol-4
Kaiju N.° 8 Vol. 7,"R$ 36,90","R$ 23,99",Avise-me,Não,https://panini.com.br/kaiju-n-8-vol-7
Confusões Do Primeiro Amor 03,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/confusoes-do-primeiro-amor-03
Kemono Jihen - Incidentes Sobrenaturais Vol. 7,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/kemono-jihen-incidentes-sobrenaturais-vol-7
The Elusive Samurai 02,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/the-elusive-samurai-02
Blue Period Vol. 12,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/blue-period-vol-12
O Incidente De Darwin 01,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/o-incidente-de-darwin-01
Kit One Week Friends Vol. 5 ao 7,"R$ 74,70",Sem desconto,Disponível,Não,https://panini.com.br/kit-one-week-friends-vol-5-ao-7
Vinland Saga Deluxe Vol. 13,"R$ 49,90","R$ 27,45",Disponível,Não,https://panini.com.br/vinland-saga-deluxe-vol-13
Missão: Família Yozakura Vol. 10,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-10
Shangri-la Frontier Vol. 7,"R$ 33,90","R$ 18,65",Disponível,Não,https://panini.com.br/shangri-la-frontier-vol-7
Diário De Uma Cidade Litorânea Vol. 9,"R$ 34,90","R$ 22,69",Disponível,Não,https://panini.com.br/diario-de-uma-cidade-litoranea-vol-9
Namorada De Aluguel Vol. 22,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-22
Re:zero Capítulo 4: O Santuário E A Bruxa Da Ganância Vol. 5,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/rezero-capitulo-4-o-santuario-e-a-bruxa-da-ganancia-vol-5
Undead Unluck Vol. 4,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/undead-unluck-vol-4
Dorohedoro Vol. 20,"R$ 37,90","R$ 20,85",Disponível,Não,https://panini.com.br/dorohedoro-vol-20
Goblin Slayer Vol. 13,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/goblin-slayer-vol-13
Mushoku Tensei: Uma Segunda Chance Vol. 10,"R$ 37,90","R$ 24,64",Disponível,Não,https://panini.com.br/mushoku-tensei-uma-segunda-chance-vol-10
Boruto: Naruto Next Generations Vol. 18,"R$ 36,90","R$ 20,30",Disponível,Não,https://panini.com.br/boruto-naruto-next-generations-vol-18
