Título,Preço Original,Desconto,Disponibilidade,Pré-venda,Link
Frieren E A Jornada Para O Além Vol. 13,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/frieren-e-a-jornada-para-o-alem-vol-13
Sakamoto Days 13,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/sakamoto-days-13
Pokémon Black 2 & White 2 Vol. 03,"R$ 49,90",Sem desconto,Disponível,Não,https://panini.com.br/pokemon-black-2-white-2-vol-03
Ragna Crimson 09,"R$ 40,90",Sem desconto,Disponível,Não,https://panini.com.br/ragna-crimson-09
One Piece 3 Em 1 Vol. 30,"R$ 84,90",Sem desconto,Disponível,Não,https://panini.com.br/one-piece-3-em-1-vol-30
Oshi No Ko - Minha Estrela Preferida 13,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/oshi-no-ko-minha-estrela-preferida-13
"Não Mexa Comigo, Nagatoro 06","R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/nao-mexa-comigo-nagatoro-06
Jojo´s Bizarre Adventure 49 (Parte 6: Stone Ocean Vol. 10),"R$ 49,90",Sem desconto,Disponível,Não,https://panini.com.br/jojos-bizarre-adventure-49-parte-6-stone-ocean-vol-10
Lycoris Recoil 01,"R$ 55,90",Sem desconto,Disponível,Não,https://panini.com.br/lycoris-recoil-01
Komi Não Consegue Se Comunicar Vol. 32,"R$ 40,90",Sem desconto,Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-32
Kusuriya No Hitorigoto - Diários De Uma Apotecária 10,"R$ 40,90",Sem desconto,Disponível,Não,https://panini.com.br/kusuriya-no-hitorigoto-diarios-de-uma-apotecaria-10
Hirayasumi - Uma Pausa Relaxante Em Uma Casa Térrea 03,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/hirayasumi-uma-pausa-relaxante-em-uma-casa-terrea-03
Gokushufudou - Tatsu Imortal 14,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/gokushufudou-tatsu-imortal-14
Gokurakugai 03,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/gokurakugai-03
The Elusive Samurai 11,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/the-elusive-samurai-11
Vou Me Apaixonar Por Você Mesmo Assim 06,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/vou-me-apaixonar-por-voce-mesmo-assim-06
Delicious In Dungeon 10,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/delicious-in-dungeon-10
A Lança Lendária E O Escudo Impenetrável 03,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/a-lanca-lendaria-e-o-escudo-impenetravel-03
Orbe: Sobre Os Movimentos Da Terra 08,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/orbe-sobre-os-movimentos-da-terra-08
Dandadan 12,"R$ 40,90",Sem desconto,Avise-me,Não,https://panini.com.br/dandadan-12
Mermaid Melody: Pichi Pichi Pitch 02,"R$ 69,90",Sem desconto,Disponível,Não,https://panini.com.br/mermaid-melody-pichi-pichi-pitch-02
Initial D 01,"R$ 69,90","R$ 52,43",Disponível,Não,https://panini.com.br/initial-d-01
Demon Slayer: Academia 03,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/demon-slayer-academia-03
Dr. Stone: Reboot,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/dr-stone-reboot
Dr. Stone Vol. 27,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/dr-stone-vol-27
Pokémon Emerald Vol. 3,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-emerald-vol-3-apoem003r
Pokémon Emerald Vol. 1,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-emerald-vol-1-apoem001r
Pokémon Gold And Silver Vol. 6,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-gold-and-silver-vol-6-amapd006r
Pokémon Emerald Vol. 2,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-emerald-vol-2-apoem002r
Pokémon Gold And Silver Vol. 2,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-gold-and-silver-vol-2-amapd002r
Pokémon Gold And Silver Vol. 7,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-gold-and-silver-vol-7-amapd007r
Pokémon Gold And Silver Vol. 3,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-gold-and-silver-vol-3-amapd003r
Pokémon Gold And Silver Vol. 4,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-gold-and-silver-vol-4-amapd004r
Pokémon Ruby And Sapphire Vol. 2,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-2-amaid002r
Pokémon Gold And Silver Vol. 5,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-gold-and-silver-vol-5-amapd005r
Pokémon Ruby And Sapphire Vol. 4,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-4-amaid004r
Pokémon Ruby And Sapphire Vol. 3,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-3-amaid003r
Pokémon Ruby And Sapphire Vol. 7,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-7-amaid007r
Pokémon Ruby And Sapphire Vol. 8,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-8-amaid008r
Pokémon Ruby And Sapphire Vol. 1,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-1-amaid001r
Pokémon Ruby And Sapphire Vol. 6,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-6-amaid006r
Pokémon Ruby And Sapphire Vol. 5,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-ruby-and-sapphire-vol-5-amaid005r
Caçando Dragões Vol. 9,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-9-amaib009r
Mob Psycho 100 (2 Em 1) Vol. 8,"R$ 49,90",Sem desconto,Disponível,Não,https://panini.com.br/mob-psycho-100-2-em-1-vol-8
Canções Da Noite Vol. 18,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/cancoes-da-noite-vol-18
Wind Breaker 15,"R$ 30,90","R$ 23,18",Disponível,Não,https://panini.com.br/wind-breaker-15
Tower Of God Vol. 11,"R$ 54,90",Sem desconto,Disponível,Não,https://panini.com.br/tower-of-god-vol-11
Blue Lock Vol. 25,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/blue-lock-vol-25
Solo Leveling 04,"R$ 69,90",Sem desconto,Disponível,Não,https://panini.com.br/solo-leveling-04
Namorada De Aluguel Vol. 36,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/namorada-de-aluguel-vol-36
Jojo´s Bizarre Adventure 48 (Parte 6: Stone Ocean Vol. 09),"R$ 49,90",Sem desconto,Disponível,Não,https://panini.com.br/jojos-bizarre-adventure-48-parte-6-stone-ocean-vol-09
O Incidente De Darwin 07,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/o-incidente-de-darwin-07
Missão: Família Yozakura Vol. 21,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/missao-familia-yozakura-vol-21
Meu Casamento Feliz 01,"R$ 40,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/meu-casamento-feliz-01
Oshi No Ko - Minha Estrela Preferida 12,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/oshi-no-ko-minha-estrela-preferida-12
"Não Mexa Comigo, Nagatoro 05","R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/nao-mexa-comigo-nagatoro-05
Mabataki Yori Hayaku!! - Num Piscar De Olhos 08,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/mabataki-yori-hayaku-num-piscar-de-olhos-08
Jujutsu Kaisen: Batalha De Feiticeiros Vol. 26,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/jujutsu-kaisen-batalha-de-feiticeiros-vol-26
Mashle: Magia E Músculos Vol. 16,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/mashle-magia-e-musculos-vol-16
Mao Vol. 19,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/mao-vol-19
Magilumiere: Companhia Das Garotas Mágicas 06,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/magilumiere-companhia-das-garotas-magicas-06
Os Dias De Folga Do Vilão 05,"R$ 43,90",Sem desconto,Disponível,Não,https://panini.com.br/os-dias-de-folga-do-vilao-05
Kusuriya No Hitorigoto - Diários De Uma Apotecária 09,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/kusuriya-no-hitorigoto-diarios-de-uma-apotecaria-09
O Homem De Gelo E Sua Fria Colega De Trabalho 03,"R$ 37,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/o-homem-de-gelo-e-sua-fria-colega-de-trabalho-03
Komi Não Consegue Se Comunicar Vol. 31,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-31
Ataque Dos Titãs (2 Em 1) Vol. 12,"R$ 69,90",Sem desconto,Disponível,Não,https://panini.com.br/ataque-dos-titas-2-em-1-vol-12
Sono Bisque Doll: Minha Adorável Cosplayer 13,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/sono-bisque-doll-minha-adoravel-cosplayer-13
She Is Beautiful 01,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/she-is-beautiful-01
Ragna Crimson 08,"R$ 40,90",Sem desconto,Disponível,Não,https://panini.com.br/ragna-crimson-08
Re Cervin 01,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/re-cervin-01
Box Dr. Slump Completo (1 Ao 18),"R$ 599,90","R$ 449,93",Disponível,Não,https://panini.com.br/box-dr-slump-completo-1-ao-18
One Piece 3 Em 1 Vol. 29,"R$ 84,90","R$ 63,68",Disponível,Não,https://panini.com.br/one-piece-3-em-1-vol-29
Black Butler Vol. 34,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/black-butler-vol-34
Seraph Of The End Vol. 32,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/seraph-of-the-end-vol-32
Tanya The Evil: Crônicas De Guerra Vol. 29,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-29
O Guarda-Costas De Honeko Akabane 05,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/o-guarda-costas-de-honeko-akabane-05
Hara Hara Sensei - A Professora Bomba-Relógio 03,"R$ 40,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/hara-hara-sensei-a-professora-bomba-relogio-03
Gachiakuta 06,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/gachiakuta-06
Delicious In Dungeon 09,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/delicious-in-dungeon-09
Vou Me Apaixonar Por Você Mesmo Assim 05,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/vou-me-apaixonar-por-voce-mesmo-assim-05
Choujin X 08,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/choujin-x-08
Orbe: Sobre Os Movimentos Da Terra 07,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/orbe-sobre-os-movimentos-da-terra-07
After God 03,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/after-god-03
Vinland Saga Deluxe Vol. 1,"R$ 49,90","R$ 37,43",Disponível,Não,https://panini.com.br/vinland-saga-deluxe-vol-1-avisa001r2
Vinland Saga Deluxe Vol. 2,"R$ 49,90","R$ 37,43",Disponível,Não,https://panini.com.br/vinland-saga-deluxe-vol-2-avisa002r2
Pokémon Diamond And Pearl Vol. 3,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/pokemon-diamond-and-pearl-vol-3
Pokémon Diamond And Pearl Vol. 2,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/pokemon-diamond-and-pearl-vol-2
Pokémon Diamond And Pearl Vol. 4,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/pokemon-diamond-and-pearl-vol-4-apodi004r
Pokémon Diamond And Pearl Vol. 1,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/pokemon-diamond-and-pearl-vol-1-apodi001r
Noragami Vol. 22,"R$ 34,90",Sem desconto,Disponível,Não,https://panini.com.br/noragami-vol-22-amawb022r
One Piece Vol. 29,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-29-amaop029r
Yuuna E A Pensão Assombrada Vol. 6,"R$ 33,90",Sem desconto,Disponível,Não,https://panini.com.br/yuuna-e-a-pensao-assombrada-vol-6-amaew006r
Dragon Ball Super Vol. 20,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/dragon-ball-super-vol-20-amaej020r
One Piece Vol. 28,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-28-amaop028r
Yuuna E A Pensão Assombrada Vol. 6,"R$ 33,90",Sem desconto,Disponível,Não,https://panini.com.br/yuuna-e-a-pensao-assombrada-vol-6-amaew007r
One Piece Vol. 26,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-26-amaop026r
Dragon Ball Super Vol. 16,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/dragon-ball-super-vol-16-amaej016r
Dragon Ball Super Vol. 19,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/dragon-ball-super-vol-19-amaej019r
Dragon Ball Super Vol. 17,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/dragon-ball-super-vol-17-amaej017r
Dragon Ball Super Vol. 18,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/dragon-ball-super-vol-18-amaej018r
One Piece Vol. 27,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-27-amaop027r
Yuuna E A Pensão Assombrada Vol. 10,"R$ 33,90",Sem desconto,Disponível,Não,https://panini.com.br/yuuna-e-a-pensao-assombrada-vol-10-amaew010r
Yuuna E A Pensão Assombrada Vol. 9,"R$ 33,90",Sem desconto,Disponível,Não,https://panini.com.br/yuuna-e-a-pensao-assombrada-vol-9-amaew009r
Yuuna E A Pensão Assombrada Vol. 8,"R$ 33,90",Sem desconto,Disponível,Não,https://panini.com.br/yuuna-e-a-pensao-assombrada-vol-8-amaew008r
Chainsaw Man Vol. 2,"R$ 36,90","R$ 23,99",Disponível,Não,https://panini.com.br/chainsaw-man-vol-2-achai002r4
Chainsaw Man Vol. 3,"R$ 33,90","R$ 22,04",Disponível,Não,https://panini.com.br/chainsaw-man-vol-3-achai003r4
O Homem De Gelo E Sua Fria Colega De Trabalho 02,"R$ 37,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/o-homem-de-gelo-e-sua-fria-colega-de-trabalho-02
Hara Hara Sensei - A Professora Bomba-Relógio 02,"R$ 40,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/hara-hara-sensei-a-professora-bomba-relogio-02
Tower Of God Vol. 10,"R$ 54,90",Sem desconto,Disponível,Não,https://panini.com.br/tower-of-god-vol-10
Ataque Dos Titãs (2 Em 1) Vol. 11,"R$ 69,90","R$ 52,43",Disponível,Não,https://panini.com.br/ataque-dos-titas-2-em-1-vol-11
Demon Slayer: Academia 02,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/demon-slayer-academia-02
Mermaid Melody: Pichi Pichi Pitch 01,"R$ 69,90","R$ 52,43",Disponível,Não,https://panini.com.br/mermaid-melody-pichi-pichi-pitch-01
Lycoris Recoil - Novel,"R$ 59,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/lycoris-recoil-novel
Dragon Ball Super Vol. 23,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/dragon-ball-super-vol-23
Komi Não Consegue Se Comunicar Vol. 30,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/komi-nao-consegue-se-comunicar-vol-30
Gokurakugai 02,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/gokurakugai-02
Elden Ring: O Caminho Para Térvore 05,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/elden-ring-o-caminho-para-tervore-05
Chainsaw Man Vol. 17,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/chainsaw-man-vol-17
Orbe: Sobre Os Movimentos Da Terra 06,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/orbe-sobre-os-movimentos-da-terra-06
Caixa Especial - Ataque Dos Titãs (2 Em 1) Vol. 8,"R$ 199,90","R$ 149,93",Disponível,Não,https://panini.com.br/caixa-especial-ataque-dos-titas-2-em-1-vol-8
Vinland Saga Vol. 2,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/vinland-saga-vol-2-amaxj002r
Vinland Saga Vol. 5,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/vinland-saga-vol-5-amaxj005r
Vinland Saga Vol. 1,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/vinland-saga-vol-1-amaxj001r
Vinland Saga Vol. 3,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/vinland-saga-vol-3-amaxj003r
Vinland Saga Vol. 4,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/vinland-saga-vol-4-amaxj004r
One Piece Vol. 14,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-14-amaop014r2
One Piece Vol. 12,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-12-amaop012r2
One Piece Vol. 15,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-15-amaop015r2
One Piece Vol. 13,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-13-amaop013r2
Tanya The Evil: Crônicas De Guerra Vol. 10,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-10-amaev010r
One Piece Vol. 11,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/one-piece-vol-11-amaop011r2
Tanya The Evil: Crônicas De Guerra Vol. 9,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-9-amaev009r
Pokémon Yellow Vol. 2,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-yellow-vol-2-amadp002r
Tanya The Evil: Crônicas De Guerra Vol. 8,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-8-amaev008r
Pokémon Yellow Vol. 4,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-yellow-vol-4-amadp004r
Tanya The Evil: Crônicas De Guerra Vol. 6,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-6-amaev006r
Pokémon Yellow Vol. 3,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-yellow-vol-3-amadp003r
Tanya The Evil: Crônicas De Guerra Vol. 7,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/tanya-the-evil-cronicas-de-guerra-vol-7-amaev007r
Vampire Knight Memories Vol. 4,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-4-amadc004r
Vampire Knight Memories Vol. 7,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-7-amadc007r
Vampire Knight Memories Vol. 3,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-3-amadc003r
Vampire Knight Memories Vol. 5,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-5-amadc005r
Vampire Knight Memories Vol. 6,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-6-amadc006r
Nisekoi Vol. 15,"R$ 29,90","R$ 22,43",Disponível,Não,https://panini.com.br/nisekoi-vol-15-amaca015r2
Vampire Knight Memories Vol. 2,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-2-amadc002r
Nisekoi Vol. 14,"R$ 29,90","R$ 22,43",Disponível,Não,https://panini.com.br/nisekoi-vol-14-amaca014r2
Vampire Knight Memories Vol. 1,"R$ 36,90","R$ 27,68",Disponível,Não,https://panini.com.br/vampire-knight-memories-vol-1-amadc001r2
Nisekoi Vol. 12,"R$ 29,90","R$ 22,43",Disponível,Não,https://panini.com.br/nisekoi-vol-12-amaca012r2
Nisekoi Vol. 13,"R$ 29,90","R$ 22,43",Disponível,Não,https://panini.com.br/nisekoi-vol-13-amaca013r2
Nisekoi Vol. 11,"R$ 29,90","R$ 22,43",Disponível,Não,https://panini.com.br/nisekoi-vol-11-amaca011r2
Toriko - 05,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/toriko-05
Toriko - 04,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/toriko-04
Toriko - 03,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/toriko-03
Toriko - 02,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/toriko-02
Toriko - 01,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/toriko-01
Demon Slayer - Kimetsu No Yaiba Vol. 21,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/demon-slayer-kimetsu-no-yaiba-vol-21-amkiy021r3
Demon Slayer - Kimetsu No Yaiba Vol. 22,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/demon-slayer-kimetsu-no-yaiba-vol-22-amkiy022r3
Caçando Dragões Vol. 3,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-3-amaib003r
Caçando Dragões Vol. 4,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-4-amaib004r
Caçando Dragões Vol. 5,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-5-amaib005r
Caçando Dragões Vol. 2,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-2-amaib002r
Moriarty: O Patriota Vol. 12,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/moriarty-o-patriota-vol-12-amafa012r
Moriarty: O Patriota Vol. 11,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/moriarty-o-patriota-vol-11-amafa011r
Moriarty: O Patriota Vol. 10,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/moriarty-o-patriota-vol-10-amafa010r
Blue Lock Vol. 2,"R$ 36,90","R$ 25,83",Disponível,Não,https://panini.com.br/blue-lock-vol-2-ablck002r2
Blue Lock Vol. 4,"R$ 36,90","R$ 25,83",Disponível,Não,https://panini.com.br/blue-lock-vol-4-ablck004r2
Blue Lock Vol. 3,"R$ 36,90","R$ 25,83",Avise-me,Não,https://panini.com.br/blue-lock-vol-3-ablck003r2
Caçando Dragões Vol. 1,"R$ 37,90","R$ 28,43",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-1-amaib001r
Seraph Of The End Vol. 4,"R$ 34,90","R$ 26,18",Disponível,Não,https://panini.com.br/seraph-of-the-end-vol-4
Marriage Toxin 03,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/marriage-toxin-03
Wind Breaker 14,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/wind-breaker-14
Tower Of God Vol. 9,"R$ 54,90","R$ 41,18",Disponível,Não,https://panini.com.br/tower-of-god-vol-9
Canções Da Noite Vol. 17,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/cancoes-da-noite-vol-17
Thunder 3 Vol. 3,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/thunder-3-vol-3
Sakamoto Days 12,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/sakamoto-days-12
Ragna Crimson 07,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/ragna-crimson-07
Naruto - A épica História De Kakashi: O Sexto Hokage E O Garoto Falho,"R$ 49,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/naruto-a-epica-historia-de-kakashi-o-sexto-hokage-e-o-garoto-falho
Oshi No Ko - Minha Estrela Preferida 11,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/oshi-no-ko-minha-estrela-preferida-11
Undead Unluck Vol. 20,"R$ 39,90",Sem desconto,Disponível,Não,https://panini.com.br/undead-unluck-vol-20
Pokémon Black 2 & White 2 Vol. 02,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/pokemon-black-2-white-2-vol-02
One Piece 3 Em 1 Vol. 28,"R$ 84,90","R$ 63,68",Disponível,Não,https://panini.com.br/one-piece-3-em-1-vol-28
"Não Mexa Comigo, Nagatoro 04","R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/nao-mexa-comigo-nagatoro-04
Mononogatari: Espíritos Possessores 16,"R$ 39,90",Sem desconto,Disponível,Pré venda,https://panini.com.br/mononogatari-espiritos-possessores-16
Mob Psycho 100 (2 Em 1) Vol. 7,"R$ 49,90","R$ 37,43",Disponível,Não,https://panini.com.br/mob-psycho-100-2-em-1-vol-7
Goblin Slayer Vol. 15,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/goblin-slayer-vol-15
Jojo´s Bizarre Adventure 47 (Parte 6: Stone Ocean Vol. 08),"R$ 49,90","R$ 37,43",Disponível,Não,https://panini.com.br/jojos-bizarre-adventure-47-parte-6-stone-ocean-vol-08
Um Amor Impossível! Ou Não... 06,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/um-amor-impossivel-ou-nao-06
Caçando Dragões Vol. 16,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/cacando-dragoes-vol-16
One-Punch Man Vol. 30,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/one-punch-man-vol-30
Os Dias De Folga Do Vilão 04,"R$ 37,90",Sem desconto,Disponível,Não,https://panini.com.br/os-dias-de-folga-do-vilao-04
Kusuriya No Hitorigoto - Diários De Uma Apotecária 08,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/kusuriya-no-hitorigoto-diarios-de-uma-apotecaria-08
Kaiju N.° 8 Vol. 12,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/kaiju-n-8-vol-12
O Guarda-Costas De Honeko Akabane 04,"R$ 40,90","R$ 30,68",Disponível,Não,https://panini.com.br/o-guarda-costas-de-honeko-akabane-04
Você Me Deixa Sem Fôlego 03,"R$ 40,90",Sem desconto,Disponível,Não,https://panini.com.br/voce-me-deixa-sem-folego-03
Hirayasumi - Uma Pausa Relaxante Em Uma Casa Térrea 02,"R$ 39,90","R$ 29,93",Disponível,Não,https://panini.com.br/hirayasumi-uma-pausa-relaxante-em-uma-casa-terrea-02
